Year,Advertising,Circulation
1956,3223000,1344492
1957,3268000,1373464
1958,3176000,1459013
1959,3526000,1549576
1960,3681000,1604228
1961,3601000,1684319
1962,3659000,1819840
1963,3780000,1901820
1964,4120000,1983809
1965,4426000,2023090
1966,4865000,2109050
1967,4910000,2180242
1968,5232000,2288215
1969,5714000,2425446
1970,5704000,2634402
1971,6167000,2833320
1972,6939000,2929233
1973,7481000,3037820
1974,7842000,3581733
1975,8234000,3921515
1976,9618000,4087303
1977,10751000,4310236
1978,12213000,4534779
1979,13863000,4950542
1980,14794000,5469589
1981,16527000,6206141
1982,17694000,6656661
1983,20581000,7044098
1984,23522000,7368158
1985,25170000,7659297
1986,26990000,8052148
1987,29412000,8399032
1988,31197000,8046287
1989,32368000,8370324
1990,32280000,
1991,30349000,8697679
1992,30639000,9163534
1993,31869000,9193802
1994,34109000,9443217
1995,36092000,9720186
1996,38075000,9969240
1997,41330000,10065642
1998,43925000,10266955
1999,46289000,10472294
2000,48670000,10540643
2001,44305000,10783078
2002,44102000,11025896
2003,46156000,11224362
2004,48244000,10988651
2005,49435000,10746901
2006,49275403,10548344
2007,45375000,10294920
2008,37848258,10086957
2009,27564000,10066783
2010,25837699,10049361
2011,27078474,9989065
2012,25316461,10448561
2013,23587097,10641663
2014,22077810,10744324
2015,20362238,10870293
2016,18274944,10910460
2017,16476453,11211011
2018,14346024,10995341
2019,12864241,11016643
2020,9601389,11053729
