City,Organization Name,Payment Amount,Grant Type,Grant Sector,Grant Subsector
Abbotsford,Abbotsford Agrifair,80000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Abbotsford,Abbotsford BMX Society,29500,Community Gaming Grant,Sport,Sports for Youth
Abbotsford,Abbotsford Falcons Football Association,22000,Community Gaming Grant,Sport,Sports for Youth
Abbotsford,Abbotsford International Airshow Society,60000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Abbotsford,Abbotsford Judo Club,36000,Community Gaming Grant,Sport,Sports for Youth
Abbotsford,Abbotsford Soccer Association,100000,Community Gaming Grant,Sport,Sports for Youth
Abbotsford,Heritage Abbotsford Society,42000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Aldergrove,Aldergrove Agricultural Fair and Festival Association,8000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Armstrong,Armstrong & District Curling Club,16050,Community Gaming Grant,Sport,Sports for Youth
Armstrong,Interior Provincial Exhibition Association,100000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Barriere,British Columbia Agricultural Exposition Society,34000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Barriere,North Thompson Fall Fair and Rodeo Association,25500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Bella Coola,Discovery Coast Music Festival Society,7000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Bowen Island,Bowen Island Museum & Archives,19000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Brentwood Bay,Central Saanich Extreme Fastball Club,13500,Community Gaming Grant,Sport,Sports for Youth
Brentwood Bay,Via Choralis Performance Society,3000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Britannia Beach,Britannia Mine Museum Society,51000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Burnaby,Burnaby Arts Council,15100,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Burnaby,Burnaby Barracuda Summer Aquatics Club,51900,Community Gaming Grant,Sport,Sports for Youth
Burnaby,Burnaby Canoe & Kayak Club,15000,Community Gaming Grant,Sport,Sports for Youth
Burnaby,Korean Writers' Association of Canada,3500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Burnaby,Nikkei National Museum & Cultural Centre,50000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Burnaby,Trinidad and Tobago Cultural Society of British Columbia,25000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Burnaby,Vancouver Chinese Singers Society,5500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Burnaby,Western Lacrosse Association,49000,Community Gaming Grant,Sport,Sports - Adult
Campbell River,Campbell River Genealogy Society,3500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Campbell River,Campbell River Salmon Festival Society,45000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Campbell River,Campbell River Wado Ryu Association,3600,Community Gaming Grant,Sport,Sports for Youth
Castlegar,Castlegar Sculpturewalk Society,10000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Castlegar,Kootenay Gallery of Art,12500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Castlegar,SQx Danza History and Science Society,30000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Chase,Chase & District Museum & Archives Society,15000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Chase,Chase and District Curling Club,7000,Community Gaming Grant,Sport,Sports - Adult
Chemainus,Chemainus Festival of Murals Society,22000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Chilliwack,British Columbia Pipers Association,8000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Chilliwack,Cascadia Wind Ensemble Society,3500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Chilliwack,Cheam Figure Skating Club,32000,Community Gaming Grant,Sport,Sports for Youth
Chilliwack,Chilliwack & District Agricultural Society,36500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Chilliwack,Chilliwack Academy of Music,27000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Chilliwack,Chilliwack School of Performing Arts,17500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Chilliwack,Chilliwack Symphony Orchestra,15000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Chilliwack,Chilliwack Youth Orchestra Society,4600,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Chilliwack,Spartan Swim Club,56000,Community Gaming Grant,Sport,Sports for Youth
Christina Lake,Boundary Youth Soccer Association,14000,Community Gaming Grant,Sport,Sports for Youth
Coquitlam,Coastal Sound Music Academy Society,49000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Coquitlam,Theatrix Youtheatre Society,38000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Courtenay,B.C. Seniors Games Society - Zone 2,30000,Community Gaming Grant,Sport,Sports - Adult
Courtenay,Beaufort Child Care Society,20496,Community Gaming Grant,Human and Social Services,Community Education
Courtenay,Comox Valley Art Gallery,41000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Courtenay,Comox Valley Exhibition Association Fall Fair,44000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Courtenay,Courtenay and District Historical Society,40000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Courtenay,Rainbow Youth Theatre Society,6000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Courtenay,The Alberni Project Society,9000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Cranbrook,Cranbrook and District Arts Council,9000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Cranbrook,Cranbrook Community Theatre Society,10500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Cranbrook,Cranbrook Lacrosse Association,6720,Community Gaming Grant,Sport,Sports for Youth
Cranbrook,Symphony of the Kootenays Association,16000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Cranbrook,Wycliffe Exhibition Association,16500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Crawford Bay,Starbelly Jam Society,12500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Creston,Creston Valley Fall Fair Association,15000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Creston,Creston Valley Figure Skating Club,11400,Community Gaming Grant,Sport,Sports for Youth
Cumberland,Cumberland and District Historical Society,10800,Community Gaming Grant,Arts and Culture,Fairs
Dawson Creek,Dawson Creek and District Band Association,5300,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Dawson Creek,Dawson Creek and District Exhibition Association,22000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Dawson Creek,Dawson Creek Minor Hockey Association,52000,Community Gaming Grant,Sport,Sports for Youth
Dawson Creek,Dawson Creek Seals Swim Club,33000,Community Gaming Grant,Sport,Sports for Youth
Dawson Creek,South Peace Art Society,24500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Delta,Delta Community Music School Society,9000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Delta,Delta Thistle Curling Club,13900,Community Gaming Grant,Sport,Sports - Adult
Delta,Ladner Minor Baseball Association,25000,Community Gaming Grant,Sport,Sports for Youth
Delta,North Delta Football Association,23450,Community Gaming Grant,Sport,Sports for Youth
Delta,Sidekick Players Club,15000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Delta,Sungod Skating Club,64000,Community Gaming Grant,Sport,Sports for Youth
Duncan,Cowichan Camerata String Orchestra Society,2000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Duncan,Cowichan Field Hockey Association,7500,Community Gaming Grant,Sport,Sports - Adult
Duncan,Cowichan Folk Guild,25000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Duncan,Cowichan Historical Society,39000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Duncan,Cowichan Musical Theatre Society,11000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Duncan,Cowichan Valley Arts Council,18000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Duncan,Duncan Cowichan Festival Society,17500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Duncan,Duncan Firefighters Historical Society,1600,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Duncan,Duncan Swim Team Society,32000,Community Gaming Grant,Sport,Sports for Youth
Edgewater,Steamboat Mountain Music Society,3000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Fort Langley,BC Farm Museum Association,15400,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Fort St John,North Peace Historical Society,11500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Gabriola Island,Scouts Canada - 1st Gabriola Scout Group,3800,Community Gaming Grant,Human and Social Services,Enhancement of Youth
Gabriola Island,The Lulu Performing Arts Society,8800,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Gibsons,Deer Crossing - The Art Farm Society,26400,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Gibsons,Sunshine Coast Driftwood Players Society,12000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Golden,Golden District Arts Council,32000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Grand Forks,Grand Forks and District Fall Fair,7500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Grand Forks,Grand Forks Art Gallery Society,26000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Grindrod,Runaway Moon Theatre Arts Society,22000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Harrison Hot Springs,Harrison Festival Society,80500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Hope,Hope & District Arts Council,25200,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Invermere,Columbia Valley Arts Council,29000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kaleden,Penticton Pony Club,1100,Community Gaming Grant,Sport,Sports for Youth
Kamloops,Association Francophone de Kamloops,29000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kamloops,BC Heritage Fairs Society,18000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kamloops,British Columbia Living Arts Society,13000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kamloops,Kamloops and District Minor Baseball Association,30600,Community Gaming Grant,Sport,Sports for Youth
Kamloops,Kamloops Art Gallery,84000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kamloops,Kamloops Exhibition Association,38000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Kamloops,Kamloops Music Collective Society,25000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kamloops,Kamloops Pipe Band Society,5500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kamloops,Kamloops Players Society,11000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kamloops,Kamloops Summer Swim Club,15000,Community Gaming Grant,Sport,Sports for Youth
Kamloops,Kamloops Sunrays Synchronized Swim Club,14500,Community Gaming Grant,Sport,Sports for Youth
Kamloops,Project X Theatre Productions Society,40000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kamloops,Sun Peaks Alpine Club,25500,Community Gaming Grant,Sport,Sports for Youth
Kamloops,Sweet Adelines - Desert Sounds Harmony Chapter,5000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kamloops,The Laughing Stock Theatre Society of British Columbia,10000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kamloops,Vivace Chorale Society,1500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kamloops,Western Canada Theatre Company Society,90000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kelowna,Arts Council of the Central Okanagan,27600,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kelowna,Central Okanagan Heritage Society,19500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Kelowna,Central Okanagan Wrestling Association,9500,Community Gaming Grant,Sport,Sports for Youth
Kelowna,Creator's Arts Centre Society,4300,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kelowna,Dolyna Ukrainian Cultural Society,6000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kelowna,Kelowna Aqua-Jets Swim Club,55000,Community Gaming Grant,Sport,Sports for Youth
Kelowna,Kelowna City Concert Band Society,8000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kelowna,Kelowna Community Music School Society,38000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Kelowna,Kelowna International Choir Society,7000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kelowna,Kelowna Lawn Bowling Club,7000,Community Gaming Grant,Sport,Sports - Adult
Kelowna,Kelowna Liedertafel Society,15600,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kelowna,Kelowna Minor Fastball Society,12000,Community Gaming Grant,Sport,Sports for Youth
Kelowna,Kelowna Ski Club,24150,Community Gaming Grant,Sport,Sports for Youth
Kelowna,Kiwanis Music Festival Society of Kelowna,24500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Kelowna,Ogopogo Summer Swim Club,35000,Community Gaming Grant,Sport,Sports for Youth
Kelowna,Okanagan Artists Alternative Association,39000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kelowna,Rutland Youth Soccer Association,33900,Community Gaming Grant,Sport,Sports for Youth
Kelowna,The Festivals and Special Events Development Society of Kelowna,25000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Kelowna,White Sails A Cappella Chapter - Sweet Adelines International,3750,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Keremeos,Similkameen Swim Club,6750,Community Gaming Grant,Sport,Sports for Youth
Kimberley,Kimberley Gymnastics Society,28600,Community Gaming Grant,Sport,Sports for Youth
Kimberley,Kimberley Seahorse Swim Association,10000,Community Gaming Grant,Sport,Sports for Youth
Kimberley,Spark Society for Youth,20000,Community Gaming Grant,Human and Social Services,Enhancement of Youth
Kitimat,Kitimat Marlin Swim Club,19200,Community Gaming Grant,Sport,Sports - Adult
Kitimat,Kitimat Museum & Archives,7600,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Kitimat,Knights of Columbus Council  #5148,3750,Community Gaming Grant,Human and Social Services,Community Service Organization
Kitimat,North West Photo Fest Society,2000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Ladysmith,Arts Council of Ladysmith and District,5650,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Ladysmith,Ladysmith Festival of Lights,38000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Ladysmith,Ladysmith Maritime Society,17225,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Lake Country,Kelowna Pipe Band Society,4600,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Lake Country,Lake Country Art Gallery Society,22500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Lake Country,The Okanagan Festival Singers,10500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Lake Country,Winfield Figure Skating Club,10500,Community Gaming Grant,Sport,Sports for Youth
Lake Cowichan,Kaatza Historical Society,18500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Langford,West Shore Arts Council,4100,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Langley,Encompass Support Services Society,10000,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty
Langley,Fraser Valley Diving Society,39000,Community Gaming Grant,Sport,Sports for Youth
Langley,Langley Minor Lacrosse Association,42100,Community Gaming Grant,Sport,Sports for Youth
Langley,Langley Ukulele Association,37000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Langley,Soroptimist International of the Langleys,9200,Community Gaming Grant,Human and Social Services,Community Service Organization
